method,req,n,n_apps,calls_app1,max_app1,min_app1,mean_app1,std_app1,ovh_per_req,ct_per_req,calls_app2,calls_app3,max_app2,max_app3,min_app2,min_app3,mean_app2,mean_app3,std_app2,std_app3,calls_app4,calls_app5,max_app4,max_app5,min_app4,min_app5,mean_app4,mean_app5,std_app4,std_app5,calls_app6,calls_app7,max_app6,max_app7,min_app6,min_app7,mean_app6,mean_app7,std_app6,std_app7
lt,f,100,5,8,0.156014,0.067688,0.11366725,0.0318671674876745,0.0001442799999999,0.00582492,21.0,24.0,0.090835,0.077072,0.006857,0.007632,0.0478105714285714,0.0352725416666666,0.0292684374329875,0.0169963854048911,36.0,11.0,0.07838,0.070502,0.005987,0.010955,0.0353696944444444,0.0402963636363636,0.015257769719828,0.0183384528656081,,,,,,,,,,
lt,r,100,5,1,0.056984,0.056984,0.056984,0.0,0.00017621,0.06248524,45.0,20.0,0.007856,0.007869,0.00434,0.003967,0.0054732666666666,0.0049888,0.0007554824036483,0.0010431360697435,27.0,7.0,0.010675,0.008883,0.004199,0.004376,0.0056881481481481,0.0059922857142857,0.0011950895427076,0.0014892332364854,,,,,,,,,,
lt,s,100,5,1,0.058597,0.058597,0.058597,0.0,0.00026002,0.01220037,12.0,67.0,0.038585,0.034717,0.007191,0.005173,0.0142795,0.0082222985074626,0.0084332456632465,0.0042080822377715,4.0,16.0,0.037838,0.047629,0.006356,0.006731,0.0180115,0.019242125,0.0127597791027117,0.0108823700076947,,,,,,,,,,
lt,f,100,7,8,0.078473,0.06329,0.070476,0.0046550410846736,0.0001920499999999,0.00482316,5.0,38.0,0.051386,0.05103,0.027729,0.009369,0.0362403999999999,0.029469947368421,0.0079718072129223,0.0096193270306994,25.0,7.0,0.084621,0.043217,0.014657,0.016794,0.0329580799999999,0.0265034285714285,0.0153471423526857,0.0091100091399851,5.0,12.0,0.03997,0.078496,0.015207,0.008938,0.0260415999999999,0.04855075,0.0081873964262151,0.0258383332058042
lt,r,100,7,1,0.059035,0.059035,0.059035,0.0,0.0001999,0.05561693,3.0,43.0,0.016642,0.007987,0.004941,0.003965,0.0097516666666666,0.0054598372093023,0.0049981403430564,0.0010582122249502,8.0,5.0,0.008997,0.022725,0.004027,0.004571,0.0054315,0.0092424,0.0015115411836929,0.0067901422253145,39.0,1.0,0.009037,0.026544,0.0041,0.026544,0.005426,0.026544,0.0011131366861492,0.0
lt,s,100,7,1,0.05607,0.05607,0.05607,0.0,0.0001073999999999,0.00628112,11.0,31.0,0.009094,0.01286,0.00385,0.003726,0.0052467272727272,0.0053166451612903,0.0013469926159552,0.0016357611930049,5.0,5.0,0.00942,0.011679,0.00452,0.005133,0.0065042,0.006733,0.0016830173379974,0.0024830192105579,4.0,43.0,0.008522,0.008645,0.003859,0.003989,0.00552325,0.0052235813953488,0.0018338158815704,0.0008262065238903
rn,f,1000,1,1000,0.167706,0.05393,0.061957185,0.0124858709119858,0.000127261,0.007809789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,r,1000,1,1000,0.145095,0.054275,0.055693843,0.0037200875049319,0.0001616329999999,0.105430915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,s,1000,1,1000,0.067119,0.054145,0.055041066,0.0007307623633192,9.547499999999996e-05,0.055427546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rn,f,1000,3,334,0.124687,0.054084,0.0646105958083832,0.0092420866228905,0.000107069,0.003857228,333.0,333.0,0.085776,0.078003,0.003793,0.003883,0.0130721621621621,0.0127159219219219,0.00911270703662,0.0087388991905715,,,,,,,,,,,,,,,,,,,,
rn,r,1000,3,290,0.066643,0.054357,0.0557121620689655,0.0013349074117224,0.0001676649999999,0.070744557,345.0,365.0,0.013576,0.013098,0.003921,0.003932,0.0054474289855072,0.0052316328767123,0.0014082399319102,0.0012178540623881,,,,,,,,,,,,,,,,,,,,
rn,s,1000,3,337,0.108781,0.054263,0.0564491246290801,0.0035073982616848,0.000127674,0.023515805,316.0,347.0,0.019572,0.016715,0.003817,0.003687,0.0062008702531645,0.0061623976945244,0.0021082357100464,0.0022138446125779,,,,,,,,,,,,,,,,,,,,
rn,f,1000,5,215,0.216556,0.054037,0.078965953488372,0.0224358484987375,0.0001576749999999,0.004896066,207.0,187.0,0.102329,0.193942,0.003846,0.00389,0.026016420289855,0.0264527593582887,0.0173205758621166,0.0232770034441251,194.0,197.0,0.128759,0.187706,0.005714,0.004224,0.0264405721649484,0.0288122081218274,0.017133853451587,0.0233976572314655,,,,,,,,,,
rn,r,1000,5,173,0.092821,0.054437,0.0562521965317919,0.003548175456654,0.0001698199999999,0.065431527,180.0,225.0,0.036011,0.012121,0.004015,0.003946,0.0054926555555555,0.0053285866666666,0.0025508767584721,0.0012184211688538,214.0,208.0,0.031647,0.015226,0.003946,0.004032,0.0055184813084112,0.0055526057692307,0.0021659952768577,0.0016182027151362,,,,,,,,,,
